Row 1: ['教育部认可的84项全国大学生学科竞赛名录', '', '', '', '', '', '', '', '', '', '', '']
Row 37: ['33', '全国大学生信息安全竞赛', '3月至5月', '初赛：线上进行，参赛队伍提交作品，评审团根据作品的技术性、创新性等进行评分，选出进入决赛的队伍。\n决赛：线下进行，通常包括作品展示、答辩和实际操作等环节，最终评选出获奖队伍。', '网络安全：如网络攻防、漏洞挖掘、安全防护等。\n系统安全：如操作系统安全、数据库安全等。\n应用安全：如Web应用安全、移动应用安全等。\n密码学：如加密算法设计、密码分析等。\n数据安全：如数据隐私保护、数据泄露防护等。\n其他：如物联网安全、区块链安全等新兴领域。\n', '信息安全技能挑战赛：侧重于实际操作能力的比拼。\n信息安全创新作品赛：侧重于创新性和技术深度的比拼。\n信息安全知识竞赛：侧重于理论知识的考核。\n', '全国高校在校本科生、研究生，通常以团队形式参赛，每队3-5人。每队需有1-2名指导老师。作品需为原创，具有一定的创新性和实用性，且未在其他竞赛中获奖。需遵守竞赛规则，按时提交作品和相关材料。', '', '', '', '', '']
Row 38: ['34', '未来设计师·全国高校数字艺术设计大赛', '3月至5月', '初赛：参赛者提交作品，由评审团进行初步筛选。\n复赛：通过初赛的作品进入复赛，进行更详细的评审。\n决赛：复赛优胜者进入决赛，进行现场展示或答辩，最终确定获奖名单。', '平面设计：海报、标志、包装设计等。\n数字媒体：动画、视频、交互设计等。\n环境设计：室内设计、景观设计、展示设计等。\n产品设计：工业设计、家具设计、玩具设计等。\n时尚设计：服装设计、饰品设计等。\n其他：其他与数字艺术设计相关的作品。', '工作坊：邀请知名设计师进行讲座和工作坊，提升参赛者技能。\n展览：优秀作品将在全国范围内进行巡回展览。\n论坛：举办设计论坛，邀请行业专家和学者进行交流。', '全国高校在校学生（包括本科生、研究生）。作品必须为原创，未在其他比赛中获奖或公开发表。根据具体类别要求，提交相应的文件格式（如JPG、MP4、PDF等）。允许团队参赛，团队成员不超过5人。', '', '', '', '', '']
Row 39: ['35', '全国周培源大学生力学竞赛', '每年12月至次年3月', '采用单次比赛赛制。', '1.个人赛：\n形式：采用闭卷笔试方式，考试时间为180分钟。\n内容：包括理论力学和材料力学（含实验内容），综合考核学生对力学基础知识的掌握程度及灵活运用能力。\n时间：通常在5月的第三个周末举行，例如第十五届个人赛于2025年5月18日举行。\n2.团体赛：\n形式：考察学生的团队协作、创新设计、动手实验等能力。分为“理论设计与操作”和“基础力学实验”两个赛道，每场比赛时间为3个小时，满分为120分。\n内容：通过团队课题研究的方式进行，要求参赛团队面对实际问题，利用理论力学、材料力学的基本知识，进行合理的分工协作，设计制作出有效的装置以实现竞赛题目所指定的目标。\n时间：团体赛通常在个人赛之后举行，具体时间由组委会另行通知。例如第十五届团体赛于2025年7月中旬先后举办。', '无', '参赛对象应为在校大学生及研究生。力学竞赛内容覆盖理论力学与材料力学两门课程的理论和实验，着重考查参赛者的力学基础、分析并解决问题的能力。考试范围请见教育部基础力学课程教学指导委员会所颁布的理论力学和材料力学的教学大纲。竞赛包括个人赛和团体赛。个人赛采用闭卷笔试方式，内容包括理论力学和材料力学（含实验内容）。团体赛考察学生的团队协作、创新设计、动手实验等能力，分为“理论设计与操作”和“基础力学实验” 两个赛道。', '', '', '', '', '']
Row 40: ['36', '中国大学生机械工程创新创意大赛', '每年4-5月', '采用校级初赛、区域赛复赛、决赛三级赛制。', '铸造工艺设计赛、智能精密装配赛、材料热处理创新创业赛。', '无', '全国高校机械类、材料类、工业工程类等相关专业的大学生和研究生。参赛者需通过学校相关部门或大赛官网进行报名，并提交相关报名材料。参赛作品需符合大赛的主题和要求，具有创新性、实用性和可行性。同时，还需提交完整的作品文档和演示材料。', '', '', '', '', '']
Row 41: ['37', '中国机器人大赛暨 Robocup 机器人世界杯中国赛', '每年11月至次年3月', '分为校赛、省赛和全国总决赛三个阶段。', '智能机器人体感竞技赛：参赛队伍需设计半仿人机器人，通过体感系统控制机器人进行武术动作和移动。\n航天器设计与空间机器人赛：参赛队伍需设计空间机器人，完成在轨服务任务。\nVEX机器人赛：参赛队伍需设计并制作机器人，完成特定任务。\n其他赛项：如机器人工程挑战赛、机器人舞蹈赛等，具体赛项内容以大赛官网发布为准。', '无', '参赛对象为全国高等学校在校大专生、本科生、研究生。部分赛项也接受高等职业院校、职业技术大学、应用型本科全日制在籍学生。每支队伍指导教师不超过3人。参赛学生人数根据赛项不同，一般为1-8人。队名应文明、清晰，无歧义且无意识形态倾向。参赛队伍需在报名时提交技术资格认证材料，包括队伍介绍、机器人功能展示视频、机器人设计相关材料等。机器人需通过技术委员会的核验。', '', '', '', '', '']
Row 42: ['38', '中国软件杯大学生软件设计大赛', '每年4-6月', '采用初赛、全国总决赛两级赛制。', '1.信息技术创新类：这类赛题通常涉及人工智能、大数据、云计算等前沿技术的创新应用。例如，基于深度学习的人脸识别系统、基于国产操作系统的应用开发等。\n2.行业应用软件类：这类赛题通常针对特定行业的应用需求，如民航、教育、医疗等。例如，高性能民航旅客行程推荐系统、智慧校园系统等。\n3.新型平台软件类：这类赛题通常涉及新型平台软件的开发与构建，如基于金蝶云·苍穹平台的智慧图书管理系统等。\n4.智能产品系统创新专项赛道：这类赛题通常涉及智能产品的创新设计与实现，如基于百度飞桨的遥感图像智能解译平台等。', '无', '全日制普通高等院校(含海外院校)在籍学生【含本科生、研究生及以上学历、中职、高职(高专)、职业本科】，报名将分两组进行，其中本科生、研究生及以上学历、中职、高职(高专)、职业本科可报A组赛题，中职、高职(高专)、职业本科可报B组赛题。以组队报名形式参赛，每队成员不超过4名 (含4名，其中队长1名，指导教师1名，其他队员不超过2名)，指导教师应为学生所在学校的专职教师担任(指导教师若为多人，则填“xx大学指导组”，证书体现为“xx大学指导组”，如赛后需组委会开具体现指导组具体老师姓名的证明材料，请在报名截止前将学校名称、团队编号、团队名称、指导组老师姓名、职称/职务、指导分工发送至大赛组委会邮箱：cnsoftbei@qq.com)，报名截至后更改信息，组委会不予受理。报名表信息填写时需注明成员在团队中的职责(报名表下载：大赛官网首页-赛程安排)。每个学校或学院各赛题报名队伍、总报名队伍数量不限，同一指导老师可同时指导多支参赛团队。一名学生可以参加多个队伍，但只能担任一个队伍的队长。', '', '', '', '', '']
Row 43: ['39', '中美青年创客大赛', '每年5-6月', '采用分赛区选拔赛、大赛决赛二级赛制。', '2024 年中美青年创客大赛分为主赛道与职业院校分赛道（分赛道仅针对中国赛区）。 主赛道与分赛道在报名时有所区分，分赛区比赛时，可区分赛道单独进行评审，也可主赛道与分赛道一同评审。评审结束后，按照所属赛道团队排名，确定最终晋级及获奖团 队。', '无', '中美青年创客大赛对任何中国公民或美国公民、或在中国或美国获得永久合法居留权的个人开放。报名者年龄应在大赛报名起始日时符合18周岁以上或40周岁以下的要求（2024年大赛要求报名者出生日期不早于1984年6月1日并且不晚于2006年6月1日）。参赛者有责任了解其出席并参加此次活动的合法权利，并须携带政府颁发的官方有效身份证明参加比赛。参赛者不能为（1）承办单位[即，中国（教育部）留学服务中心、清华大学、北京歌华文化发展集团有限公司、英特尔公司和中国大学科技园联盟的员工，或上述任何实体的母公司或子公司的员工；（2）上述任何实体的任何一名员工的直系亲属。\n（1）以团队形式报名时，团队总人数不得超过5人(含领队)，领队为团队的联系人和代表。\n（2）鼓励中、美两国选手联合组队。\n（3）职业院校分赛道的团队成员均需为职业院校的全日制在读学生。\n（4）分赛区选拔赛开始前，团队可替换一位或多位成员，领队不可更换。\n（5）一名参赛者只可以个人或团队形式参与到一个项目之中。\n（6）每个参赛项目可至多有一位指导老师，指导老师不得再以领队或者成员身份参赛。\n（7）参赛个人或团队需在报名时签署中美青年创客大赛参赛者声明，报名成功后则视为参赛个人或团队完全接受本大赛参赛者声明（详见附件3：中美青年创客大赛参赛者声明）。\n（8）本大赛不收取报名费。', '', '', '', '', '']
Row 44: ['40', '睿抗机器人开发者大赛(BAICOM)', '每年2-12月', '采用初赛、复赛、决赛三级赛制。', 'CAIR工程竞技赛道：涉及机器人工程竞技相关项目。\nCAIA数字创意赛道：聚焦数字文化创意设计，涵盖传统文化的数字表达等内容。\nCAIM工程创客赛道：包括机器人创新应用仿真设计、微型桌面工厂工业互联网集成与调试等。\nCAIP信息技术创新赛道：涵盖编程技能赛、云平台技术与应用、网络安全、大模型应用开发、大数据、人机物三元计算、媒体融合、任务应用、算法调优、金融科技等多个竞赛项目。', '无', '面向全国高等院校在校学生（含高职高专、本科、研究生）以及相关科研机构和企业的青年开发者，鼓励跨学科、跨专业组队参赛，以促进不同领域知识的融合与创新。 参赛作品必须为原创，未在其他同类竞赛中获奖或公开发表。作品应具有完整的设计方案、实现过程和功能演示，能够体现创新性、可行性和实用性。同时，需遵守国家法律法规和道德规范，不得涉及侵权、抄袭等不良行为，如有违反，将取消参赛资格。以团队形式参赛时，团队成员数量应符合大赛规定（具体人数以当年通知为准），团队成员需分工明确，共同完成参赛作品的设计、开发与展示。团队需指定一名负责人，负责与大赛组委会沟通协调相关事宜。', '', '', '', '', '']
Row 45: ['41', '“大唐杯"全国大学生新一代信息通信技术大赛', '每年12月至次年2月', '分为省赛和全国总决赛两个阶段。', '赛道一：信息通信工程实践赛\n以2人为参赛小组，每所学校报名组数不超过300组。\n赛道内容包括5G-A、6G技术演进、无线通信网络工程实践、星地融合网络工程实践等。\n赛道二：产教融合5G+创新应用赛\n以4-6人为参赛小组，每组需指定一名队长，每所学校不限报名组数。\n赛项包括5G+软件无线电创新设计、5G射频电路系统开发设计、5G+网联智能车创新设计、5G+工业互联网创新设计等。\n赛道三：ICT基础通识赛\n以2人为参赛小组，每所学校报名组数不超过300组。\n赛道内容包括信息通信基本原理、数字信号处理、模拟电子技术等基础知识。', '无', '全日制在籍的本科生、研究生及“一带一路”国际留学生。不同学校的参赛选手不可联合组队。每个参赛小组指导教师不超过2名。赛道二要求参赛小组至少由2个不同专业的学生组成。报名费用：省赛120元/选手，全国赛120元/选手。', '', '', '', '', '']
Row 46: ['42', '华为ICT大赛', '每年9-10月', '采用省赛、全国总决赛、三级赛制全球总决赛', '实践赛：\n赛道：网络、云、基础软件、昇腾AI。\n赛程：省赛（初赛+复赛）→中国总决赛→全球总决赛。\n省赛时间：2024年10月至12月。\n中国总决赛：2025年3月。\n全球总决赛：2025年5月。\n创新赛：\n聚焦物联网、大数据、人工智能等新技术方向，采用作品评比形式。\n赛程：省赛→全国总决赛→全球总决赛。\n编程赛：\n考察编程能力，赛程包括省赛、全国总决赛和全球总决赛。\n教学赛：\n包括实验教学案例赛项和优秀教材赛项，提交参赛作品，成果突出者受邀参加全球教师交流分享会。', '无', '全球高校在校学生，包括本科生、研究生。每位参赛选手只能选择一个赛道。部分赛项支持团队参赛，具体要求根据赛项而定。', '', '', '', '', '']
Row 47: ['43', '全国大学生嵌入式芯片与系统设计竞赛', '每年3-4月', '采用分赛区初赛、复赛及全国总决赛三级赛制。', '芯片应用赛道：\n采用组委会指定的嵌入式开发平台为设计核心，作品可扩展其他电路并搭建应用系统。\n芯片设计专项赛：\n由参赛队自主选题，完成相关芯片设计与验证。\nFPGA创新设计赛道：\n关注可编程逻辑器件应用领域的创新设计，采用指定FPGA开发平台进行开放式自主设计。', '无', '国内外高校电子电气类相关专业（电子、信息、计算机、自动化、电气、仪科等）全日制在校研究生、本科生、高职高专生。研究生组：参赛队员中只要有一名研究生即为研究生组。本科组：全体参赛队员为本科学籍。高职高专组：全体参赛队员为高职高专学籍。\n作品提交要求根据不同赛道而不同，芯片设计赛道需提交作品介绍视频、交付文档、重要数据、海报及知识产权声明等。FPGA创新设计赛道需提交作品报告及视频，决赛阶段需进行现场评审。', '', '', '', '', '']
Row 48: ['44', '全国大学生生命科学竞赛（CULSC）', '科学探究类赛道：每年7月至次年1月\n创新创业类赛道：每年1-4月', '采用网评、省赛、全国决赛三级赛制。', '科学探究类赛道：\n提交研究综述、实验设计、实验记录、论文、查重报告、参赛承诺书等。\n创新创业类赛道：\n创新组：学术论文（已发表或已录用）、发明专利、软件著作权等。\n创业组：创业计划书、专利证书、参赛视频（50M内，mp4格式）等。', '无', '生物、食品、医学、药学、农学、环境、化学等相关专业的全日制非成人教育的高等院校在校本、专科生。报名时须为在校生，参赛资格由所在学校确认。可以跨学校、跨学院组队，但团队信息只体现一所学校。每支参赛队伍由1-2名指导老师和不超过6名学生组成。每位学生当届竞赛最多可参加创新组和创业组各一个项目，且只能作为一个项目的负责人。', '', '', '', '', '']
Row 49: ['45', '全国大学生物理实验竞赛', '每年3-4月', '参赛队伍需在模拟赛当天进行成果汇报，每个团队将轮流担任“正方”和“反方”角色。正方制作PPT汇报研究成果并回答反方的质疑，反方则提出问题并指出正方工作中的问题。每组一正一反，具体时间安排由主办方通知\u200c', '1.\u200c命题类创新作品\u200c：参赛者需从竞赛组委会公布的命题类项目中选题，设计实验方案、制作实验装置并结合实验结果进行讨论\u200c。                                                                           2.\u200c自选课题类创新作品\u200c：参赛者从竞赛组委会公布的自选类项目中选题，按要求提交作品\u200c。                                                                                                           3.\u200c大学生物理实验讲课比赛\u200c：参赛者根据竞赛组委会公布的讲课比赛形式及要求，自选讲课内容并提交讲课视频\u200c。', '无', '1. 参赛对象为全国各类高等学校2025年秋季学期在籍本（专）科学生。 \n2. 参赛者以学校为单位选择各类别项目参赛。各校参赛名额限定如下： \n（1）每所学校最多可报5+1+1支队伍，其中：命题类（1-4题）最多3支队伍、自选类最多3支队伍、讲课类最多2支队伍，此三种共计不超过5支队伍；命题类第5题（微视频）和命题类第6题（AI+物理实验）每类最多1支队伍； \n（2）不同城市多校区且招生代码不同的学校最多可报8+1+1支队伍，其中：命题类（1-4题）最多4支队伍、自选类最多4支队伍，讲课类最多3支队伍，此三种共计不超过8支队伍；命题类5（微视频）和命题类6（AI+物理实验）每类最多1支队伍； \n3. 每支队伍参赛指导教师不得多于2人，学生最多5人，其中讲课类项目每支队伍的学生最多3人。 \n4. 所有竞赛类别，本年度以前获得过全国大学生物理实验竞赛（创新）二等奖（含）以上的学生、其他国家级竞赛二等奖（含）以上作品不得再参加本竞赛。其他作品可以再次参赛。这类作品报名时，必须选上“再次参赛”选项并说明上次参赛年份和获奖等级，提交原来的参赛文档（须删除参赛队伍相关信息），并在新参赛的文档中，明确说明主要改进和提升内容。对于上一年度获得过讲课比赛一等奖的作品，所在学校在随后的2年内不得再报相同的实验题目参赛。 \n5. 参赛高校负责本校学生的参赛组织事宜，包括组队、报名、格式审查、赛前准备等。参赛队员自备设备、器材和作品，费用由各参赛高校自行解决。\n6. 每支队伍报名费1000元，汇款方式另行通知（此报名费用仅包含网络初评及远程答辩费用，不包含现场展示环节的会务费）。', '', '', '', '', '']
Row 50: ['46', '全国高校BIM毕业设计创新大赛', '每年9-11月', '晋级赛比赛：12月\n总决赛作品制作：当年12月-次年3月\n全国总决赛评审：次年4月-次年5月', '十一届国际高校BIM毕业设计创新大赛常规赛道，共分为8个模块分别为：\nA模块 建筑设计BIM应用与创新\nB模块 机电设计BIM应用与创新\nC模块 道桥设计BIM应用与建模\nD模块 BIM建筑碳排放计算与减碳设计\nE模块 施工深化设计建模与应用\nF模块 BIM+工程项目管理应用\nG模块 BIM+全过程造价管理与应用\nH模块 BIM+装饰造价全过程应用\n注：\n1. 本科组和专科组（含中职）分别进行评奖；\n2. 各模块单独进行评奖；\n3. 各模块全国总决赛奖项数量以总决赛实际参赛队伍总数为基数进行设定；', '无', '本届大赛学生赛道面向全国全日制本科、高职高专、中职院校，所有建筑类相关专业的在籍学生（含研究生）。学生赛道报名不限年级，同一团队内研究生不可超过2人，本科组、专科组独立报名。\n本届大赛学生赛道竞赛为团体赛，具体要求如下：\n参赛组别：分设本科组和专科组（含中职）进行报名\n参赛单位：以二级院系为参赛单位\n参赛队伍：每支队伍限报1个通道，1个模块，每支队伍由3-5名参赛学生和1-2名指导教师组成\n参赛学生：同一名参赛学生限加入1支参赛队伍\n参赛教师：每名指导教师指导模块、队伍数量不限', '', '', '', '', '']
Row 51: ['47', '全国高校商业精英挑战赛', '每年10-11月', '知识赛阶段\u200c：参赛选手需参加在线知识测评，成绩合格（60分以上）者获资格组队参赛\u200c。\n校赛阶段\u200c：由各学院组织进行，选拔优秀团队参加省赛/全国预选赛\u200c。\n省赛/全国预选赛阶段\u200c：择优评定入围全国总决赛的团队\u200c。\n全国总决赛阶段\u200c：采取品牌策划方案陈述（10分钟）与现场答辩（5分钟）的方式进行\u200c。\n全球总决赛阶段\u200c：采取品牌策划方案陈述（10分钟）与现场答辩（5分钟）的方式进行，竞赛语言为中文', '\u200c品牌策划竞赛\u200c：包括初赛、校赛和省赛。初赛和决赛均为团队赛形式，校赛和省赛由各院校和组织单位负责组织，参赛团队需选择真实存在的品牌进行策划\u200c。', '全国高校商业精英挑战赛创新创业竞赛（教师组）', '高等院校全日制本科（含研究生）与高职高专在校学生，不限专业。竞赛为团体赛形式，设置本科组（含研究生）与高职高专组。\n组队要求如下：\n1.每个团队由 3 至 5 名全日制在校学生和 1 至 2 名指导教师组成，每名学生只能参加 1 个团队，不可跨团队交叉组队，教师可跨团队指导，不可跨校组队。\n2.每个参赛团队需设总经理 1 名（兼队长），队长为本团队的联系人，原则上队长不可替换（特殊情况需向竞赛组委会报备）。\n3.参赛团队需自行起名，队名不超过 12 个字符（即不超过 6 个汉字或 12 个英文字母（含空格）），团队名称不能透露所在院校名称，需符合社会主义核心价值观，不起低俗不雅的团队名称', '', '', '', '', '']
Row 52: ['48', '“学创杯”全国大学生创业综合模拟大赛', '每年3-4月', ' 1. 校园选拔赛：通常在每年的上半年进行，为后续的省赛、国赛选拔出优秀的参赛团队。具体时间由各高校自行安排。（通常集中在3-5月）\n  2. 省赛：在校园选拔赛的基础上，择优推荐队伍参加。省赛时间一般也在上半年，具体日期根据各省份的安排而定。\n  3. 总决赛：通常在秋季举行，汇聚全国范围内的优秀团队进行终极比拼。', '比赛分为创业综合模拟赛项、创业营销赛项两个赛项分别竞赛。\n（1）创业综合模拟赛项：由创业计划书环节和软件模拟竞赛环节构成。\n（2）创业营销赛项：全程采用《营销之道》作为竞赛平台，通过模拟经营一家创业型公司，全程模拟营销实战。', '无', '\u200c学创杯全国大学生创业综合模拟大赛的参赛对象包括具有学籍的全日制在校本科学生，参赛者可以自行组成创业团队，但不能跨校组队\u200c。每个团队由1-3名学生和1-2名指导教师组成，每名学生限参加1个团队\u200c。参赛者需以队为单位填写报名表，具体报名方式和截止日期可能因学校而异。例如，某些学校要求报名信息先填写在线链接，或通过扫描二维码进群后填写报名表\u200c。每个参赛队由3名在校生组成，每位学生只能参加1个专项竞赛，1-2名指导教师可参与\u200c。', '', '', '', '', '']
Row 53: ['49', '中国高校智能机器人创意大赛', '每年4-6月', '比赛分为区域赛和全国赛两个阶段。区域赛时间：各赛区应在 2025年 7 月 20 日前公布选拔赛入选名单（具体请见各赛区通知、公告）。入选名单一经公布，不再受理参赛师生人员调整申请。全国赛时间：2025 年 8 月 20-21 日。', '第八届中国高校智能机器人创意大赛设主题赛和专项赛。\n1.主题赛 \n主题一（创意设计）：家用智能机器人——让生活更美好服务于未来生活的智能型服务机器人创意设计：适用于千家万户的智能机器人，其用途为家务劳动机器人、娱乐、情感交流、陪伴、个人卫生、家庭管家、安全与防护等家用服务智能机器人。 本次竞赛的智能机器人限定为人们居家生活（家庭）环境条件下使用，且符合上述用途范围的智能机器人，所有参加决赛的作品必须与本届大赛的主题和内容相符，与主题及限定范围不符的作品不予评奖。 作品形式： 参赛队可以自行选择用文字图片（视频）或实物模型来展示创意设计。\n评审时按以下类别，分组评审。\n1）无实物组：以文字、图片、动画等形式展示作品的创意设计；\n2）自制实物模型组：采用自行创意、设计并制作模型（或原理样机）的形式展示作品的创意设计；\n3）模块化产品搭建组：采用慧鱼模块、启创远景模块、越疆模块、探索者模块等产品模块搭建作品，表达设计创意。 \n4）生成式人工智能（AIGC）组：采用生成式人工智能（AIGC）协助完成的作品设计或表达。\n本组作品要求使用国内的AI工具，协助参赛队进行设计，如生成初步思路、帮助语言表达、查找资料等，但不得将AI生成的内容直接用于设计创作或代替自主思考。 \n主题二（创意竞技）：——挑战更快 魔方机器人 参照人类魔方竞速规则，设计制作魔方机器人，综合运用机械、电子、信息和自然科学知识，实现比人“计算”更快、“翻动”更加灵活迅速的目标。魔方机器人限采用双手臂，手指限采用二指或五指的形式，手腕容许有转动和摆动，手臂为固定。魔方机器人的外廓尺寸要求不超过480mm*480mm*480mm，总重量不超过 20kg,摄像头数量不限，允许自行在机器人上增设光源。竞赛采用标准三阶魔方，决赛用魔方由组委会统一提供。 同一个学校，参赛的魔方机器人的结构、技术方案不得雷同。\n主题三：智能机器人对抗赛—挑战更强 分统一部件组和开放部件组。 \n1)统一部件组：参赛队伍选用统一标准的控制器、传感器、动力模块、供电模块、结构组件等部件，设计、制作符合规则要求的智能机器人参赛，通过策略的制定及程序的设计，参赛双方的机器人进行比赛，采取小组循环赛、淘汰赛相结合的赛制。根据比赛形式的不同，设置轮式格斗、仿人格斗、视觉对抗、无人机对抗、服务机器人竞技、机器人仿真、创意设计等类别的比赛项目。\n2)开放部件组：在对参赛机器人重量、尺寸等限制的条件下，参赛队自行设计、制作符合规则要求的智能机器人参赛，通过策略的制定及程序的设计，参赛双方的机器人在擂台上自主对抗，采取小组循环赛、淘汰赛相结合的赛制。\n参赛项目及规则要求，请访问网址“http://www.robo-maker.org/dszq/”了解、咨询。 \n2.专项赛 \n专项赛一：基于 ROS 技术应用的机器人挑战赛\n1）单臂机器人竞赛组 基于工业机器人在智能制造应用场景中涉及的视觉识别、抓取装配等技术，参照俄罗斯方块游戏的规则，设计基于 ROS 框架的俄罗斯方块机器人系统，融合机器视觉和人工智能算法，将随机散放的俄罗斯方块装配到托盘中。俄罗斯方块机器人手臂限串联六轴及以上，机器人臂展不超过1000mm，机器人和视觉系统必须在 ROS 框架下运行。 \n2）双臂机器人竞赛组 基于双臂机器人在生活和公共服务应用场景中涉及的人机交互、双臂协同等技术，设计基于 ROS 框架的双臂服务机器人系统，融合语义识别与生成、机器视觉、深度强化学习等算法，通过双臂协作完成端茶倒水、物品取放和人机协同作业等任务。 双臂服务机器人手臂限串联六轴及以上，臂展不超过1000mm，机器人和传感系统必须在 ROS 框架下运行。 \n专项赛二：足式机器人挑战赛 分为四足机器人组和双足机器人组。 \n1)四足机器人组：分为大型组和小型组，通过对运动部分和感知部分的二次开发，搭载可扩展的传感器，模拟未来生活的四足机器人应用和技术挑战；赛项任务（供参考）包括但不限于越障与避障、竞速、识别、检测与播报、路径规划、踢足球、等等。 \n2)双足机器人组：分为大型组和小型组，通过对运动部分和感知部分的二次开发，搭载可扩展的传感器，模拟未来生活的双足机器人应用和技术挑战；赛项任务（供参考）包括但不限于越障与避障、竞速、识别、检测与播报、路径规划、踢足球、等等。 \n专项赛三：VEX U 智能机器人对抗赛 \nVEX U 是全球规模最大的 VEX 机器人世界锦标赛的赛项之一。本届VEX U的竞赛主题为“尖峰时刻”，比赛在约 3.7x3.7 米的正方形场地上进行。两支赛队各控制两台机器人在包含前30秒自动赛时段和后90秒手动控制时段的赛局中竞争。赛局目标是通过将套环放在尖桩上得分，挪动移动桩，在赛局结束时攀爬，\n以获得比对方联队更高的得分。详细竞赛规则请查阅VEX 中文官方论坛：https://www.vexforum.cn/t/topic/14581? 专项赛四：产教融合-舜宇“未来视界” 创意赛 面向光电全行业，在核心材料、核心模块、关键器件（新型传感器等）、关键设备以及以光电感知业务为核心围绕智能机器人、XR、智能汽车、医疗健康等新兴行业应用等方面的创新活力强、成长潜力大、市场前景广阔的科技创新作品。本次竞赛限定为适用上述相关领域或应用场景下的所有创新作品，所有参赛 的作品必须与本届大赛的主题内容相符，与主题限定范围不符的作品不予评奖', '无', '省赛参赛资格：辽宁省内高校具有正式学籍的在校专科生、本科生、研究生以团队的方式，通过学校统一推荐报名参赛。主题一、主题二每队学生人数1-3人，主题三每队学生人数1-4人，每队指导教师不超过2人，每所高校参赛队总数不超过30队，每个学生仅允许参加一个项目，不得超项。同一学校的参赛作品，其创意、作品的机电结构不得雷同。专项赛每队学生人数1-4人。参赛作品必须为原创，且不侵犯他人知识产权，已经公开或申请专利的，请注明。大赛主办方享有免费对参赛获奖作品进行部分或全部复制、信息网络传播、展示、汇编和出版的权利，作者拥有署名权。', '', '', '', '', '']
Row 54: ['50', '中国好创意暨全国数字艺术设计大赛', '报名及截稿时间：2024年10月20日——2025年6月30日17:00止', '比赛分为省赛和国赛两个阶段', '常规赛道：\n投稿类别\n>大爱中国类 >高阶文明类 >认知境界类\n>社会创新类 >思辨艺术类 >创业项目类\n>艺术疗愈类 >海洋文化类 >视传应用类\n>创新创意产品类 >漫画插画类 >空间设计类\n>动画影片类 >交叉学科类 >数字摄影类\n>中国风传统文化类 >交通艺术设计类 >服装服饰与虚拟时尚类\n>课创转化类 >课程思政类 >红色主题类\n>学术论文类 >中国好创意大赛衍生品类 >教材教辅类\n（仅限教师投稿）\n\xa0\n专项赛道：\n投稿类别\n微短剧类 8K微视频类 景德镇御窑\n音乐舞蹈类 人工智能生成类 老字号•新国潮创新设计\n乡村旅游文创类 特殊教育类 海晶盐田应用场景类', '无', '本届大赛分为两个单元，分别为：学生单元：在校大学生；教师单元：在校教师。具体作品要求如下：\n1.弘扬主旋律，传播正能量，体现社会主义核心价值观；\n2.作品题材没有特定要求的，不限主题，但须具有转化、应用的潜力和价值。', '', '', '', '', '']
